# Temp    Cp J/K    S J/mol    H-Hr kJ/mol
298.15    32.479    195.552    0.
300.00    32.466    195.753    0.060
350.00    32.102    200.730    1.674
400.00    31.769    204.994    3.271
450.00    31.512    208.721    4.852
500.00    31.346    212.031    6.424
550.00    31.274    215.015    7.989
600.00    31.287    217.736    9.552
650.00    31.371    220.243    11.119
700.00    31.507    222.573    12.690
750.00    31.686    224.752    14.270
800.00    31.897    226.804    15.859
850.00    32.129    228.745    17.460
900.00    32.372    230.588    19.072
950.00    32.621    232.345    20.697
1000.0    32.872    234.024    22.335
